EIN,Name in IRS Master File,NTEE Code,NTEE Type (26),NTEE Classification,Affiliation,Founded,Overall,Financial Socre,Transparency Score,Tel,Website,Street,City,State,Zip
59-0715928,Society For The Prevention Of Cruel Ty To Animals Tampa Bay Florida In,D20,Animal-Related,Animal Protection and Welfare,Independent ,"May, 1974",75.93,74.92,77,tel: (727) 586-3591,http://spcatampabay.org/,9099 130th Avenue N,Largo,FL,33773
95-1738153,Los Angeles S P C A,D20,Animal-Related,Animal Protection and Welfare,Independent ,"August, 1934",79.4,77.92,81,tel: (888) 772-2521,http://www.spcala.com,5026 West Jefferson Boulevard,Los Angeles,CA,90016
36-3378581,Special K Ranch Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1985",84.4,80.88,89,tel: (406) 322-5520,http://www.specialkranch.org/,34 Special K Lane,Columbus,MT,59019
52-0889518,Special Olympics Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"July, 1969",86.57,81.25,97,tel: (800) 700-8585,http://www.specialolympics.org,"1133 Nineteenth Street, NW",Washington,DC,20036
86-0307564,Special Olympics Arizona Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"April, 2002",95.98,95.98,96,tel: (800) 289-4946,http://www.specialolympicsarizona.org/,2100 S 75th Ave,Phoenix,AZ,85043
84-0713739,Special Olympics Colorado,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"March, 1975",83.55,79.51,89,tel: (800) 777-5767,http://www.specialolympicsco.org/,410 Seventeenth Street,Denver,CO,80202
23-7099756,Special Olympics Connecticut Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1987",82.78,75.84,97,tel: (800) 443-6105,http://www.soct.org/,2666 State Street,Hamden,CT,6517
23-7162877,Delaware Special Olympics Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1972",90.12,91.4,89,tel: (302) 831-4653,http://www.sode.org/,619 South College Avenue,Newark,DE,19716
23-7181560,Special Olympics Florida Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"June, 1972",91.08,88.04,96,tel: (352) 243-9536,http://www.sofl.org/,1915 Don Wickham Drive,Clermont,FL,34711
23-7201676,Special Olympics Georgia Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"March, 1977",83.21,77.32,93,tel: (800) 866-4400,http://www.specialolympicsga.org/,4000 DeKalb Technology Parkway,Atlanta,GA,30340
23-7173957,Special Olympics Hawaii Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"September, 1972",82.66,78.09,89,tel: (888) 943-8808,http://www.specialolympicshawaii.org/,1833 Kalakaua Avenue,Honolulu,HI,96815
23-7185185,Special Olympics Idaho Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"November, 1972",77.18,71.43,85,tel: (800) 915-6510,http://www.idso.org,199 East 52nd Street,Garden City,ID,83714
36-2922811,Special Olympics Illinois,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1977",84.76,78.83,96,tel: (630) 942-5610,http://www.soill.org/,State Headquarters,Normal,IL,61761
35-1262574,Indiana Special Olympics Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"May, 1972",87.13,85.5,89,tel: (800) 742-0612,http://www.soindiana.org/,6100 West 96th Street,Indianapolis,IN,46278
51-0176029,Iowa Special Olympics Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"December, 1977",79.97,78.13,82,tel: (877) 267-0134,http://soiowa.org/,551 SE Dovetail Road,Grimes,IA,50111
48-0890981,Special Olympics Kansas Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"January, 1980",80.78,72.83,100,tel: (913) 236-9290,http://www.ksso.org,5280 Foxridge Drive,Mission,KS,66202
72-0706608,Special Olympics Louisiana Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1973",73.46,63.34,92,tel: (985) 345-6644,http://laso.org/,1000 East Morris Avenue,Hammond,LA,70403
01-0355822,Maine Special Olympics,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"December, 1978",86.43,84.28,89,tel: (207) 879-0489,http://www.specialolympicsmaine.org/,125 John Roberts Road,South Portland,ME,4106
23-7089144,Special Olympics Maryland Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"December, 1970",78.85,70.36,96,tel: (800) 541-7544,http://www.somd.org,3701 Commerce Drive,Baltimore,MD,21227
23-7242294,Special Olympics Massachusetts Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"May, 1990",79.05,72.49,89,tel: (978) 774-1501,http://www.specialolympicsma.org/,512 Forest Street,Marlborough,MA,1752
38-1964643,Special Olympics Michigan Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"September, 1972",90.55,89.31,92,tel: (800) 644-6404,http://www.somi.org/,Central Michigan University,Mount Pleasant,MI,48859
41-1228157,Special Olympics Minnesota Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1974",83.63,79.63,89,tel: (800) 783-7732,http://www.specialolympicsminnesota.org/,100 Washington Avenue South,Minneapolis,MN,55401
23-7328374,Special Olympics Missouri,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1977",85.11,79.34,96,tel: (573) 635-1660,http://www.somo.org,1001 Diamond Ridge,Jefferson City,MO,65109
81-0367064,Special Olympics Montana Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"January, 1995",92.54,90.25,96,tel: (800) 242-6876,http://www.somt.org,710 First Avenue North,Great Falls,MT,59401
47-0546346,Special Olympics Nebraska Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"October, 1977",81.82,76.77,89,tel: (800) 247-0105,http://www.sone.org,9427 F Street,Omaha,NE,68127
23-7207522,Special Olympics New Hampshire Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1972",84.13,80.44,89,tel: (800) 639-2608,http://www.sonh.org,650 Elm Street,Manchester,NH,3101
23-7448729,Special Olympics New Jersey Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1983",90.89,93.3,89,tel: (609) 896-8000,http://www.sonj.org/,1 Eunice Kennedy Shriver Way,Lawrenceville,NJ,8648
85-0268084,Special Olympics New Mexico Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1980",77.62,68.93,94,tel: (505) 856-0342,http://www.sonm.org/,"6600 Palomas, NE",Albuquerque,NM,87109
23-7061382,Special Olympics New York Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1970",79.24,70.92,96,tel: (800) 836-6976,http://specialolympics-ny.org/,504 Balltown Road,Schenectady,NY,12304
56-1149607,Special Olympics North Carolina Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1972",80.51,73.35,93,tel: (800) 843-6276,http://www.sonc.net/,2200 Gateway Centre Boulevard,Morrisville,NC,27560
68-0363121,Special Olympics Northern California Inc,N40,"Recreation, Sports, Leisure, Athletics","Sports Training Facilities, Agencies",Independent ,"September, 1996",71.69,60.78,92,tel: (925) 944-8801,http://www.sonc.org/,3480 Buskirk Avenue,Pleasant Hill,CA,94523
23-2078543,Special Olympics Pennsylvania Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1979",81.6,76.92,88,tel: (800) 235-9058,http://www.specialolympicspa.org/,124 Washington Square,Norristown,PA,19403
05-0377867,Special Olympics Rhode Island Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"February, 1979",79.23,75.37,84,tel: (401) 349-4900,http://www.specialolympicsri.org/Default.aspx,370 George Washington Highway,Smithfield,RI,2917
23-7174120,Special Olympics Oklahoma Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"June, 1972",90.95,93.47,89,tel: (800) 722-9004,http://www.sook.org/,6835 South Canton Avenue,Tulsa,OK,74136
93-0752969,Special Olympics Oregon Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1980",81.65,75.32,92,tel: (503) 248-0600,http://www.soor.org,5901 Southwest Macadam Avenue,Portland,OR,97239
57-0680248,Special Olympics South Carolina,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1979",81.24,74.41,93,tel: (800) 772-1555,http://www.so-sc.org/,1276 Assembly Street,Columbia,SC,29201
95-4538450,Special Olympics Southern California Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"May, 1996",82.15,75.08,96,tel: (562) 502-1100,http://www.sosc.org/,1600 Forbes Way,Long Beach,CA,90810
23-7348136,Special Olympics Tennessee Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"January, 1974",75.91,67.76,89,tel: (800) 383-8502,http://www.specialolympicstn.org/,"1900 Twelfth Avenue, S",Nashville,TN,37203
74-1998367,Special Olympics Texas Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"November, 1978",82.47,84.09,81,tel: (800) 876-5646,http://www.sotx.org/,1804 Rutherford Lane,Austin,TX,78754
54-1013637,Special Olympics Virginia Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Independent ,"June, 1983",85.97,80.57,96,tel: (800) 932-4653,http://www.specialolympicsva.org/,3212 Skipwith Road,Richmond,VA,23294
91-0962383,Special Olympics Washington,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1976",80.34,74.47,89,tel: (206) 362-4949,http://www.specialolympicswashington.org/,1809 Seventh Ave,Seattle,WA,98101
39-1176591,Special Olympics Wisconsin Inc,N72,"Recreation, Sports, Leisure, Athletics",Special Olympics,Central ,"June, 1982",81.72,74.33,97,tel: (800) 552-1324,http://www.specialolympicswisconsin.org/,2310 Crossroads Drive,Madison,WI,53718
52-1183585,Special Operations Warrior Foundation,Q43,"International, Foreign Affairs and National Security","National Security, Domestic",Independent ,"October, 1995",99.2,98.88,100,tel: (877) 337-7693,http://www.specialops.org,1137 Marbella Plaza Drive,Tampa,FL,33619
38-2752328,Spectrum Health Foundation,E21,Health - General and Rehabilitative,Community Health Systems,Subordinate ,"March, 2014",89.14,84.94,97,tel: (888) 260-8465,http://www.spectrumhealthfoundation.org/,"100 Michigan Avenue, NE",Grand Rapids,MI,49503
61-0444823,J B Speed Art Museum,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"November, 1935",79.36,71.44,94,tel: (502) 634-2700,http://www.speedmuseum.org,2035 South Third Street,Louisville,KY,40208
56-1331429,Speedway Childrens Charities,T12,"Philanthropy, Voluntarism and Grantmaking Foundations",Fund Raising and/or Fund Distribution,Independent ,"July, 1982",70.69,65.52,77,tel: (800) 236-2354,http://www.speedwaycharities.org,5555 Concord Parkway South,Concord,NC,28027
58-0566243,Spelman College,B42,Educational Institutions and Related Activities,Undergraduate College (4-year),Independent ,"July, 1942",85.73,83.09,89,tel: (404) 681-3643,http://www.spelman.edu,"350 Spelman Lane, SW",Atlanta,GA,30314
13-1635286,Spence School,B20,Educational Institutions and Related Activities,"Elementary, Secondary Education, K - 12",Independent ,"March, 1942",86.58,88.38,85,tel: (212) 710-8130,http://www.spenceschool.org,22 East 91st Street,New York,NY,10128
13-1834590,Spence-Chapin Services To Families And Children,P31,Human Services - Multipurpose and Other,Adoption,Independent ,"December, 1968",80.73,72.76,100,tel: (212) 369-0300,http://www.spence-chapin.org/,410 East 92nd Street,New York,NY,10128
36-2662739,Spertus Institute For Jewish Learning And Leadership,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1966",79.61,72.03,93,tel: (312) 322-1700,http://www.spertus.edu/,610 South Michigan Avenue,Chicago,IL,60605
74-2490763,Sensory Processing Disorder Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1988",86.69,84.73,89,tel: (303) 794-1182,http://www.spdfoundation.net/,5420 South Quebec Street,Greenwood Village,CO,80111
38-3283759,Sphinx Organization Inc,A68,"Arts, Culture and Humanities",Music,Independent ,"August, 1996",89.34,98.6,85,tel: (313) 877-9100,http://sphinxmusic.org,400 Renaissance Center,Detroit,MI,48243
58-1342181,Spina Bifida Association Of America,G55,[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1973",76.03,67.06,92,tel: (202) 944-3285,http://www.spinabifidaassociation.org,1600 Wilson Boulevard,Arlington,VA,22209
20-1687786,Spirit Of America Worldwide,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"November, 2004",84.2,96.12,78,tel: (310) 230-5476,http://www.spiritofamerica.net,12021 Wilshire Boulevard,Los Angeles,CA,90025
91-0606058,United Way Of Spokane County,T70,"Philanthropy, Voluntarism and Grantmaking Foundations",Fund Raising Organizations That Cross Categories,Independent ,"September, 1953",81.43,74.05,96,tel: (509) 838-6581,http://www.unitedwayspokane.org/,920 North Washington Street,Spokane,WA,99201
91-1478830,Spokane Valley Partners,P28,Human Services - Multipurpose and Other,"Neighborhood Centers, Settlement Houses",Independent ,"June, 1995",74.82,76.79,73,tel: (509) 927-1153,http://svpart.org/,10814 East Broadway Avenue,Spokane Valley,WA,99206
57-0660848,Spoleto Festival U S A,A20,"Arts, Culture and Humanities","Arts, Cultural Organizations - Multipurpose",Independent ,"September, 1978",88.6,88.22,89,tel: (843) 724-1192,http://www.spoletousa.org,14 George Street,Charleston,SC,29402
95-3890767,Spondylitis Association Of America,G55,[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1984",89.69,85.42,100,tel: (800) 777-8189,http://www.spondylitis.org/,16360 Roscoe Boulevard,Van Nuys,CA,91406
13-2578670,Sponsors For Educational Opportunity Inc,B90,Educational Institutions and Related Activities,Educational Services and Schools - Other,Independent ,"August, 1965",94.96,98.66,93,tel: (212) 979-2040,http://www.seo-usa.org/,55 Exchange Place,New York,NY,10005
54-1479310,Sports Outreach Institute Inc,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"April, 1989",82.98,78.6,89,tel: (434) 582-4707,http://www.sportsoutreach.net,2740 Fort Avenue,Lynchburg,VA,24501
23-7073822,Sports World Ministries Incorporated,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1970",71.46,61.17,89,tel: (800) 832-6546,http://www.sportsworld.org,1919 South Post Road,Indianapolis,IN,46239
31-0941103,United States Sportsmens Alliance Foundation,D01,Animal-Related,Alliance/Advocacy Organizations,Independent ,"October, 1978",87.23,82.2,97,tel: (614) 888-4868,http://www.sportsmensalliance.org/,801 Kingsmill Parkway,Columbus,OH,43229
23-7037183,Sportsmens Tennis & Enrichment Center Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1969",84.38,83.8,85,tel: (617) 288-9092,http://sportsmenstennisclub.org/,950 Blue Hill Avenue,Dorchester,MA,2124
22-3829041,Spread The Word Nevada,O50,Youth Development,"Youth Development Programs, Other",Independent ,"December, 2001",88.05,83.11,100,tel: (702) 564-7809,http://spreadthewordnevada.org/,1075 American Pacific,Henderson,NV,89074
59-1777135,The Spring Of Tampa Bay Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1978",81.5,81.02,82,tel: (813) 247-5433,http://www.thespring.org/,P.O. Box 5147,Tampa,FL,33675
52-1047790,Springfield Rescue Mission Inc,P60,Human Services - Multipurpose and Other,"Emergency Assistance (Food, Clothing, Cash)",Independent ,"April, 1963",83.02,85.33,81,tel: (413) 732-0808,http://www.springfieldrescuemission.org,10 Mill Street,Springfield,MA,1102
43-1345089,Springfield Victory Mission Inc,P60,Human Services - Multipurpose and Other,"Emergency Assistance (Food, Clothing, Cash)",Independent ,"April, 1991",78.61,79.24,78,tel: (417) 831-6387,http://www.victorymission.com/,1715 North Boonville Avenue,Springfield,MO,65803
84-1340824,Springs Rescue Mission,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"October, 1996",91.54,88.04,100,tel: (719) 632-1822,http://springsrescuemission.org/,5 West Las Vegas Street,Colorado Springs,CO,80903
23-1352681,Springside Chestnut Hill Academy,B20,Educational Institutions and Related Activities,"Elementary, Secondary Education, K - 12",Independent ,"July, 1942",90.92,93.4,89,tel: (215) 247-7003,http://www.sch.org/,8000 Cherokee Street,Philadelphia,PA,19118
94-1498232,Spur-San Francisco Bay Are Planning And Urban Research Association,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1961",91.44,94.96,89,tel: (415) 781-8726,http://www.spur.org/,654 Mission Street,San Francisco,CA,94105
04-3330698,Squashbusters Inc,O20,Youth Development,"Youth Centers, Clubs, Multipurpose",Independent ,"February, 1997",80.18,85.53,76,tel: (617) 373-7782,http://squashbusters.org/,795 Columbus Avenue,Roxbury Crossing,MA,2120
06-1048684,Stamford Center For The Arts Inc,A61,"Arts, Culture and Humanities",Performing Arts Centers,Independent ,"December, 1982",88.55,88.13,89,tel: (203) 358-2305,http://www.stamfordcenterforthearts.org/,61 Atlantic Street Stamford,Stamford,CT,6901
06-6100039,Stamford Symphony Orchestra Inc,A69,"Arts, Culture and Humanities",Symphony Orchestras,Independent ,"December, 1967",79.23,72.77,89,tel: (203) 325-1407,http://stamfordsymphony.org/,263 Tresser Boulevard,Stamford,CT,6901
34-0819149,Stan Hywet Hall & Gardens Inc,A80,"Arts, Culture and Humanities","Historical Societies, Related Historical Activities",Independent ,"January, 1958",75.41,70.26,82,tel: (888) 836-5533,http://www.stanhywet.org,714 North Portage Path,Akron,OH,44303
94-3331587,Forest Ethics,C36,"Environmental Quality, Protection and Beautification",Forest Conservation,Independent ,"May, 2000",93.63,91,100,tel: (415) 863-4563,http://www.forestethics.org,One Haight Street,San Francisco,CA,94102
52-1957214,Stand For Children Leadership Center,O99,Youth Development,Youth Development N.E.C.,Independent ,"February, 1996",82.84,80.94,85,tel: (800) 663-4032,http://www.standleadershipcenter.org,2121 SW Broadway,Portland,OR,97201
33-0604522,Stand To Reason,X99,"Religion-Related, Spiritual Development","Religion Related, Spiritual Development N.E.C.",Independent ,"January, 1997",76.96,87.31,70,tel: (562) 595-7333,http://www.str.org,1438 East 33rd Street,Signal Hill,CA,90755
33-0414855,Standup For Kids,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1990",80.27,73.27,92,tel: (800) 365-4543,http://standupforkids.org,"83 Walton Street, NW",Atlanta,GA,30303
01-0566033,Israel Emergency Alliance,Q01,"International, Foreign Affairs and National Security",Alliance/Advocacy Organizations,Independent ,"June, 2002",95.19,94.51,96,tel: (310) 836-6140,http://standwithus.com,P.O. Box 341069,Los Angeles,CA,90034
94-1156365,The Board Of Trustees Of The Leland Stanford Junior University,B43,Educational Institutions and Related Activities,University or Technological Institute,Independent ,"October, 1996",94.24,98.47,92,tel: (866) 543-0243,http://www.stanford.edu,Development Office,Stanford,CA,94305
13-2572034,Stanley M Isaac Neighborhood Center,P28,Human Services - Multipurpose and Other,"Neighborhood Centers, Settlement Houses",Independent ,"December, 1964",78.89,70.42,96,tel: (212) 360-7620,http://www.isaacscenter.org,415 East 93rd Street,New York,NY,10128
74-1152599,Star Of Hope Mission,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"July, 1941",92.56,89.48,100,tel: (713) 748-0700,http://www.sohmission.org/,6897 Ardmore Street,Houston,TX,77054
36-3297852,Starkey Hearing Foundation,G42,"Diseases, Disorders, Medical Disciplines",Ear and Throat Diseases,Independent ,"June, 1984",93.86,91.32,100,tel: (866) 354-3254,http://www.starkeyhearingfoundation.org,"6700 Washington Avenue, S",Eden Prairie,MN,55344
95-3802159,Starlight Childrens Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Central ,"September, 1987",84.59,78.22,100,tel: (310) 479-1212,http://www.starlight.org,2049 Century Park East,Los Angeles,CA,90067
62-1285699,Stars Nashville,F21,"Mental Health, Crisis Intervention","Alcohol, Drug Abuse, Prevention Only",Independent ,"February, 2001",89.35,89.72,89,tel: (615) 279-0058,http://www.starsnashville.org,1704 Charlotte Avenue,Nashville,TN,37203
59-2588363,State Of Florida Assoc Of Police Athletic Activities Leagues Inc,O03,Youth Development,"Professional Societies, Associations",Independent ,"September, 1991",59.23,63.96,55,tel: (904) 642-1412,http://www.sfapal.com/,P.O. Box 350399,Jacksonville,FL,32235
57-0952531,State Policy Network,R02,"Civil Rights, Social Action, Advocacy",Management & Technical Assistance,Independent ,"September, 1992",89.85,90.79,89,tel: (703) 243-1655,http://www.spn.org,1655 North Fort Myer Drive,Arlington,VA,22209
86-0717486,State Street Ballet,A63,"Arts, Culture and Humanities",Ballet,Independent ,"May, 1993",66.71,89.98,54,tel: (805) 845-1432,http://www.statestreetballet.com,2285 Las Positas Road,Santa Barbara,CA,93105
22-2403203,The State University College At Oneonta Foundation Corporation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1982",92.19,99.06,89,tel: (607) 436-2535,http://www.oneonta.edu/advancement/foundation.asp,308 Netzer Administration Building,Oneonta,NY,13820
20-1115618,State Voices,R40,"Civil Rights, Social Action, Advocacy","Voter Education, Registration",Independent ,"June, 2004",86.97,96.11,82,tel: (202) 888-0600,http://www.statevoices.org/,1625 Massachusetts Avenue NW,Washington,DC,20036
13-3706442,Staten Island Economic Development Corporation,S30,"Community Improvement, Capacity Building",Economic Development,Independent ,"March, 1994",73.87,64.73,89,tel: (718) 477-1400,http://siedc.org/,900 South Avenue,Staten Island,NY,10314
16-1511190,Holy Family Communications,X22,"Religion-Related, Spiritual Development",Roman Catholic,Independent ,"March, 1997",58.99,76.46,47,tel: (877) 888-6279,http://www.thestationofthecross.com/,6325 Sheridan Drive,Williamsville,NY,14221
13-3118415,Statue Of Liberty Ellis Island Foundation Inc,A80,"Arts, Culture and Humanities","Historical Societies, Related Historical Activities",Independent ,"September, 1982",91.77,91.56,92,tel: (212) 561-4588,http://www.libertyellisfoundation.org/,17 Battery Place,New York,NY,10004
88-0245022,Steadman Philippon Research Institute,H92,Medical Research,"Biomedicine, Bioengineering Research",Independent ,"December, 1989",85.59,92.67,81,tel: (970) 479-5809,http://www.sprivail.org/,181 West Meadow Drive,Vail,CO,81657
51-0188692,St Louis Park Emergency Program Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1977",87.71,86.55,89,tel: (952) 925-4899,http://www.stepslp.org/,6812 West Lake Street,St. Louis Park,MN,55426
59-3649371,Step Up For Students Inc,B12,Educational Institutions and Related Activities,Fund Raising and/or Fund Distribution,Independent ,"July, 2000",99.92,99.9,100,tel: (877) 735-7837,http://www.stepupforstudents.org,P.O. Box 54367,Jacksonville,FL,32245
36-3363994,Stephen Center Inc,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"July, 1985",85.83,98.9,80,tel: (402) 731-0238,http://www.stephencenter.org,2723 Q Street,Omaha,NE,68107
02-0554654,Stephen Siller Tunnel To Towers Foundation,B82,Educational Institutions and Related Activities,"Scholarships, Student Financial Aid Services, Awards",Independent ,"February, 2003",95.91,94.23,100,tel: (718) 987-1931,http://tunnel2towers.org/,2361 Hyland Boulevard,Staten Island,NY,10306
58-2219199,Stephens Children Foundation Inc,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"May, 1996",68.96,87.26,58,tel: (616) 723-0601,http://www.stephenschildren.org/,"3755 36th Street, SE",Grand Rapids,MI,49512
37-0673564,Young Mens Christian Association Of Champaign,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1938",88.28,92.97,85,tel: (217) 359-9622,http://www.sf-ymca.net/,2501 Fields South Drive,Champaign,IL,61822
04-3086666,Steppingstone Foundation Inc,B28,Educational Institutions and Related Activities,Specialized Education Institutions,Central ,"April, 1991",86.4,82.52,92,tel: (617) 423-6300,http://www.tsf.org/,One Appleton Street,Boston,MA,2116
94-6064356,Stern Grove Festival Association,A20,"Arts, Culture and Humanities","Arts, Cultural Organizations - Multipurpose",Independent ,"February, 1944",85.78,83.18,89,tel: (415) 252-6252,http://www.sterngrove.org/,832 Folsom Street,San Francisco,CA,94107
15-0551485,Stevens-Swan-Humane-Society,D20,Animal-Related,Animal Protection and Welfare,Independent ,"January, 1979",75.52,82.73,70,tel: (315) 738-4357,http://www.stevens-swan.org/,5664 Horatio Street,Utica,NY,13502
64-0655566,Stewpot Community Services Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1982",90.02,86.47,96,tel: (601) 353-2759,http://stewpot.org,1100 West Capitol Street,Jackson,MS,39203
43-6041686,Stonecroft Ministries Inc,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"February, 1955",76.32,68.37,89,tel: (800) 525-8627,http://www.stonecroft.org/,10561 Barkley,Overland Park,KS,66212
21-0649717,Stony Brook-Millstone Watersheds Assn,C60,"Environmental Quality, Protection and Beautification",Environmental Education and Outdoor Survival Programs,Independent ,"May, 1953",85.61,86.26,85,tel: (609) 737-3735,http://www.thewatershed.org/,31 Titus Mill Road,Pennington,NJ,8534
95-4167790,Stop Cancer,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1993",91.36,89.99,93,tel: (310) 841-2600,http://www.stopcancer.org,2566 Overland Avenue,Los Angeles,CA,90064
16-1541024,Stop Hunger Now Inc,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"March, 1998",94.77,93.79,96,tel: (888) 501-8440,http://www.stophungernow.org,615 Hillsborough St.,Raleigh,NC,27603
13-2940671,Storefront Academy Harlem,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1994",84.21,78.04,96,tel: (212) 427-7900,http://www.storefrontacademy.org,70 East 129th Street,New York,NY,10035
85-0241340,The Storehouse Inc,K30,"Food, Agriculture and Nutrition","Food Service, Free Food Distribution Programs",Independent ,"August, 1976",77.77,74.23,82,tel: (505) 842-6491,http://thestorehouseabq.org/,106 Broadway SE,Albuquerque,NM,87102
14-1457573,Storm King Art Center,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"November, 1961",79.34,74.94,85,tel: (845) 534-3115,http://stormking.org/,One Museum Road,New Windsor,NY,12553
13-3753011,Storycorps Inc,A32,"Arts, Culture and Humanities",Television,Independent ,"August, 1994",96.44,94.97,100,tel: (646) 723-7020,http://www.storycorps.org/,80 Hanson Place,Brooklyn,NY,11217
77-0283072,Storyteller Childrens Center Inc,Z99,Unknown,Unknown,Independent ,"October, 1996",90.2,88.05,93,tel: (805) 682-9585,http://www.storytellercenter.org/,2115 State Street,Santa Barbara,CA,93105
04-3103694,Straight Ahead Ministries Inc,X21,"Religion-Related, Spiritual Development",Protestant,Independent ,"May, 1991",90.56,92.45,89,tel: (508) 753-8700,http://www.straightahead.org/,791 Main Street,Worcester,MA,1610
23-2053382,Strand-Capitol Performing Arts Center Inc,A61,"Arts, Culture and Humanities",Performing Arts Centers,Independent ,"July, 1978",87.77,86.66,89,tel: (717) 846-1155,http://www.strandcapitol.org,50 North George Street,York,PA,17401
33-0780945,Strategic Resource Group Inc,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"August, 2000",81.47,85.77,78,tel: (410) 820-6962,NaN,PO Box 1809,Easton,MD,21601
